"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"337",0.16,0.11,0.02,0.05,NA,0.05,0.63,1.34,1.78,1.52,1.18,2.27,3.37,2.95,2.61,3.84,11.28,15.6,4.82,2.42,1.28,0.79,0.34,0.34
"339",0.11,0.13,0.05,0.01,0.02,0.05,0.97,3.63,4.46,4.18,1.8,1.34,0.99,0.79,0.76,0.85,0.74,1.02,0.81,0.79,0.69,0.29,0.2,0.14
"340",0.1,0.06,0.08,0.05,0.08,1.2,2.14,3.57,9.16,5.45,2.13,1.76,2.15,2.09,2.16,2.85,2.89,2.78,2.75,2.19,2.01,1.38,0.87,0.46
"341",0.11,0.09,0.08,0.08,0.04,0.05,0.9,2.18,3.31,5.21,2.9,2.18,2.15,2.56,2.31,2.86,2.67,2.92,2.54,3.15,1.97,1.75,1.05,0.19
"342",0.2,0.07,0.05,0.03,0.53,0.26,1.4,3.27,12.37,5.76,3.07,3.41,2.56,3.03,3.13,3.34,2.4,1.87,1.97,1.47,1.29,0.77,0.53,0.31
"343",0.05,0.02,0.02,NA,0.01,0.02,0.14,0.36,0.7,1.62,0.97,0.96,1.31,1.24,1.05,1.08,1.45,1.76,1.56,0.92,0.53,0.24,0.19,0.14
"344",0.09,0.1,0.02,0.04,0.01,0.05,0.65,1.24,2.82,2.21,1.05,0.85,0.83,0.88,0.72,0.62,0.73,0.77,0.79,1.01,1.21,0.92,0.53,0.38
"345",1.19,0.63,0.21,0.1,0.24,0.44,2.4,5.68,15.08,10.95,7.53,6.23,6.58,7.21,7.56,8.25,8.1,12.76,14.04,11.88,9.17,6.96,5.22,2.97
"346",1.14,0.64,0.37,0.15,0.12,1.19,4.49,7.44,12.18,5.2,3.63,4.08,4.71,5.59,5.23,5.97,6.49,7.67,7.99,6.79,4.6,3.56,3.01,2.03
"347",1.24,0.37,0.11,0.05,0.07,0.22,1.42,3.05,9.73,8.16,4.57,5.19,8.04,7.6,9.2,9.51,14.17,24.5,23.24,12.81,8.69,6.16,6.4,3.23
"348",1.5,0.94,0.33,0.13,0.23,0.63,0.93,3.74,8.65,7.05,4.78,6.18,6.93,7.72,8.86,9.89,9.74,14.44,22.73,17.05,10.27,5.61,4.18,2.79
"349",0.24,0.13,0.06,0.02,0.02,0.21,0.98,3.01,5.39,4.37,2.9,2.42,1.84,1.62,1.45,1.82,1.79,1.96,2.37,2.22,1.74,1.15,0.71,0.47
"350",0.34,0.21,0.11,0.08,0.06,0.26,1.94,7.89,9.75,4.99,2.08,2.34,2.74,2.82,2.98,3.36,4.63,4.89,5.68,3.79,2.92,1.82,1.64,0.89
"351",0.11,0.18,0.05,0.07,0.14,0.53,1.62,2,2.18,2.02,1.3,2.05,4.16,3.6,3.9,4.28,7.78,18.27,8.43,2.93,1.79,1.21,0.82,0.41
"352",0.75,0.55,0.44,0.17,0.05,0.58,3.13,3.89,8.02,5.77,4.98,7.3,8.17,8.63,8.72,10.78,15.56,18.42,9.76,6.3,3.88,2.62,1.8,1.38
