"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"285",0.06,0.05,0.09,0.15,0.07,0.07,0.11,0.15,0.06,0.18,0.1,0.18,0.24,0.24,0.22,0.16,0.12,0.13,0.14,0.27,0.41,0.54,0.19,0.16
"289",0.15,0.15,0.1,0.12,0.02,0.07,0.03,0.06,0.17,0.21,0.2,0.15,0.11,0.15,0.1,0.1,0.08,0.03,0.04,0.06,0.15,0.19,0.1,0.1
"290",0.02,0.01,0.03,0.04,0.05,0.01,0.01,0.02,0.02,0.02,0.05,0.03,0.02,0.06,0.05,0.02,0.02,0.02,0.03,0.04,0.03,0.01,NA,NA
"291",0.08,0.09,0.07,0.09,0.05,0.01,0.01,NA,0.03,0.04,0.21,0.29,0.25,0.08,0.08,0.05,0.07,0.04,0.02,0.05,0.11,0.11,0.04,0.07
"293",0.21,0.33,0.16,0.15,0.19,0.15,0.24,0.19,0.07,0.1,0.18,0.22,0.27,0.25,0.22,0.22,0.18,0.3,0.27,0.61,0.85,0.82,0.43,0.18
"294",0.02,0.01,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.06,0.08,0.08,0.04,0.11,0.12,0.06,0.1,0.1,0.08,0.1,0.05,0.02,0.02,0.01
"295",0.01,0.04,0.02,0.02,0.03,0.03,0.01,0.01,0.03,0.05,0.05,0.06,0.08,0.05,0.04,0.02,0.02,0.01,0.02,NA,0.01,0.05,0.01,0.04
"296",0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.04,0.04,0.02,0.04,0.05,0.02,0.04,0.02,0.02,0.01,NA,0.01,0.01,0.01,0.02,NA
"297",0.05,0.11,0.09,0.08,0.04,0.01,0.01,0.02,0.01,0.04,0.02,0.03,0.05,0.08,0.08,0.04,0.04,0.07,0.08,0.05,0.16,0.05,0.08,0.04
"298",0.06,0.03,0.08,0.06,0.02,0.02,0.05,0.01,0.02,0.08,0.08,0.05,0.06,0.06,0.08,0.02,0.05,0.04,0.03,0.02,0.03,0.06,0.08,0.07
"300",0.08,0.06,0.12,0.04,0.06,0.05,0.05,0.05,0.04,0.07,0.09,0.05,0.17,0.13,0.05,0.05,0.05,0.04,0.06,0.11,0.11,0.05,0.06,0.03
"301",0.05,0.08,0.08,0.17,0.24,0.13,0.04,0.08,1.05,2.08,0.9,1.19,0.75,0.32,0.07,0.1,0.11,0.05,0.06,0.15,0.34,0.18,0.06,0.05
"302",0.08,0.08,0.17,0.13,0.18,0.05,0.03,0.02,NA,0.01,0.08,0.11,0.19,0.14,0.13,0.13,0.08,0.01,0.02,0.05,0.07,0.09,0.02,0.02
"303",NA,0.02,NA,0.02,0.02,NA,0.02,NA,NA,0.02,0.03,0.02,0.04,0.04,0.05,0.05,0.04,0.08,0.02,0.02,0.01,NA,NA,NA
"304",0.01,0.09,0.08,0.07,0.12,0.04,0.08,0.03,0.03,0.02,0.04,0.07,0.05,0.25,0.37,0.24,0.09,0.04,0.04,0.05,0.03,0.02,0.03,0.02
"305",0.02,0.06,0.12,0.11,0.11,0.11,0.1,0.07,0.05,0.06,0.06,0.06,0.08,0.13,0.13,0.07,0.16,0.34,0.2,0.18,0.17,0.06,0.04,0.02
"306",0.02,0.02,0.02,0.04,0.01,0.02,0.02,0.02,0.01,0.02,0.04,0.06,0.08,0.05,0.12,0.1,0.05,0.05,0.05,0.04,0.04,0.02,0.01,NA
"307",0.08,0.13,0.24,0.2,0.06,0.03,0.06,0.03,0.03,0.02,0.04,0.08,0.03,0.08,0.09,0.14,0.11,0.05,0.02,0.02,0.1,0.09,0.15,0.09
"308",0.08,0.07,0.07,0.03,0.04,0.02,0.02,0.03,NA,NA,0.03,0.03,0.02,0.05,0.03,NA,0.02,0.03,0.04,0.02,0.03,0.03,0.03,0.02
"309",0.05,0.02,0.03,0.13,0.05,0.08,0.05,0.04,0.04,0.02,0.05,0.11,0.39,0.39,0.2,0.32,0.31,0.28,0.14,0.03,0.02,0.02,0.02,0.03
"310",0.02,0.08,0.07,0.02,0.05,0.05,0.04,0.02,0.02,0.01,0.01,0.04,NA,0.06,0.06,0.08,0.05,0.02,0.04,0.02,0.03,0.02,0.02,0.02
"311",0.11,0.28,0.28,0.19,0.21,0.24,0.24,0.1,0.05,0.02,0.08,0.1,0.14,0.24,0.34,0.34,0.22,0.18,0.12,0.09,0.09,0.22,0.15,0.17
"312",0.33,0.6,0.57,0.43,0.26,0.15,0.05,0.1,0.43,1.47,1.07,0.48,0.27,0.24,0.16,0.16,0.06,0.05,0.04,0.08,0.34,0.37,0.23,0.21
"313",0.01,NA,0.02,0.02,0.02,0.02,0.01,NA,0.01,0.01,0.01,NA,0.01,NA,0.02,0.03,0.01,0.01,NA,0.01,0.02,0.01,0.02,0.01
"314",0.08,0.08,0.05,0.07,0.07,0.1,0.07,0.04,0.08,0.03,0.07,0.09,0.08,0.18,0.18,0.18,0.11,0.12,0.07,0.08,0.09,0.04,0.05,0.06
"315",0.02,0.03,0.02,0.05,0.03,0.02,0.02,0.03,0.02,0.15,0.08,0.07,0.08,0.14,0.08,0.04,0.05,0.03,0.04,0.02,0.02,NA,0.01,0.02
"316",0.08,0.11,0.06,0.06,0.08,0.02,0.04,0.02,0.08,0.09,0.05,0.13,0.11,0.21,0.23,0.11,0.06,0.09,0.07,0.05,0.09,0.05,0.05,0.07
"317",0.1,0.23,0.27,0.12,0.06,0.03,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.06,0.02,0.04,0.03,0.05,0.11,0.06,0.08,0.05
"318",0.03,0.04,0.02,0.02,NA,NA,0.02,0.17,0.4,0.2,0.05,0.07,0.11,0.06,0.05,0.09,0.02,0.08,0.07,0.05,0.02,0.02,NA,0.02
"319",0.02,0.05,NA,0.04,0.03,0.01,0.02,0.04,0.02,0.05,0.06,0.08,0.11,0.17,0.15,0.09,0.09,0.11,0.07,0.05,0.05,0.02,0.03,0.05
"320",0.02,0.05,0.03,0.02,NA,0.02,0.02,0.02,0.05,0.03,0.05,0.08,0.08,0.11,0.09,0.08,0.05,0.09,0.03,0.03,0.05,0.04,0.03,0.05
