"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"310",0.51,0.28,0.11,0.11,0.02,0.69,0.63,0.88,2.95,3.73,2.17,2.04,2.36,2.57,2.36,2.67,3.43,6.3,8.11,6.05,3.37,2.48,1.67,0.98
"311",1.62,0.77,0.29,0.16,0.15,0.24,1.92,2.41,6.3,3.74,2.95,2.66,2.91,3.16,3.67,3.93,4.19,7.79,7.82,7.9,5.99,4.8,3.9,3.27
"312",2.8,1.47,0.79,0.42,0.18,0.78,1.69,2.77,3.2,3.88,3.13,4.37,4.94,6.06,5.85,8.31,7.98,12.55,17.4,12.46,8.26,5.75,4.66,4.42
"313",0.39,0.21,0.08,0.07,0.02,0.06,0.56,0.47,1.81,3.48,2.75,1.69,1.51,1.52,1.59,1.47,1.63,2.05,4.31,4.09,2.81,1.63,1.32,0.77
"314",0.29,0.15,0.03,0.85,0.02,0.18,2.02,4.38,6.69,5.03,2.76,2.13,2.45,2.6,2.19,1.81,2.27,3.11,3.81,2.94,1.77,1.06,0.55,0.52
"315",0.28,0.16,0.08,0.04,0.01,0.02,1.28,3.44,16.28,15.98,4.36,2.91,3.35,4.21,4.11,4.08,6.86,9.98,8.26,4.06,1.61,1.24,0.54,0.34
"316",0.79,0.33,0.26,0.14,0.2,0.08,0.95,4.88,8.17,8.98,3.97,3.69,4.57,3.88,4.02,3.67,3.84,5.42,5.66,4.99,3.89,2.48,1.77,0.92
"317",1.22,0.67,0.32,0.11,0.18,0.1,0.37,3.07,4.29,2.35,2.56,3.31,4.03,5.15,6.53,7.15,8.75,16.09,11.85,6.89,7.15,5.36,4.76,2.34
"318",0.34,0.11,0.01,0.05,0.17,1.39,5.03,12.11,21.39,19.64,7.73,4.24,5.03,4.52,5.85,6.45,10.56,23.15,14.76,7.07,3.24,1.93,1.13,0.49
"319",0.31,0.17,0.07,0.11,0.04,0.12,1.69,2.1,3.98,5.6,3.12,2.53,3.07,3.12,3.15,2.98,3.56,4.37,3.18,2.24,1.36,0.78,0.52,0.32
"320",0.6,0.34,0.17,0.08,0.43,0.34,1.25,4.11,6.53,12.19,5.98,3.43,3.92,4.93,3.99,3.76,4.5,6.51,6.89,5.05,3.08,2.11,1.9,1.17
"321",0.19,0.1,0.08,0.03,0.46,0.09,0.26,0.83,2.27,1.95,2.62,2.47,2.38,2.33,2.99,2.58,2.66,2.86,2.08,1.54,0.94,0.74,0.63,0.25
"322",0.17,0.12,0.05,0.01,0.02,0.08,0.08,0.77,1.92,1.91,1.46,1.91,2.51,2.6,2.36,2.98,2.15,2.95,2.49,2.08,1.14,0.79,0.79,0.48
"323",0.28,0.18,0.1,0.04,0.04,0.12,1.2,2.54,9.12,9.51,3.13,1.48,2.17,2.19,2.19,1.95,1.79,2.79,4.65,3.05,1.77,1.34,0.91,1.09
"324",0.38,0.14,0.11,0.09,0.12,0.63,5.28,11.97,22.73,6.48,2.88,2.55,2.44,2.22,2.53,2.52,2.63,3.14,4.31,2.97,1.51,1.4,1.17,0.73
"325",1.33,0.69,0.27,0.22,0.12,0.27,1.09,1.8,4.49,7.84,4.76,3.84,4.22,3.66,4.68,4.85,5.05,8.73,11.07,8.5,5.66,4.92,3.37,2.82
"326",1.69,1.17,0.41,0.16,0.08,0.28,1.32,3.59,4.27,3.21,2.47,3.35,5.24,5.47,6.53,6.71,7.76,12.91,17.46,10.99,6.36,4.89,3.83,3.24
"327",0.74,0.42,0.15,0.15,0.1,1.66,10.51,23.3,34.71,16.17,6.33,6.37,9.81,10.07,10.64,12.02,18.04,25.13,22.46,14.84,8.83,5.33,2.74,1.81
"328",0.69,0.44,0.09,0.06,0.05,0.35,2.49,7.6,11.9,9.79,4.43,3.81,3.76,4.69,4.92,5.61,6.23,7.6,8.56,8.37,4.69,3.23,2.36,1.72
"329",0.55,0.33,0.15,0.17,0.04,2.71,19.24,13.38,18.85,7.6,4.07,3.92,6.41,7.56,6.91,6.04,8.12,9.79,10.2,8.11,5.77,3.49,2.45,1.54
"330",0.37,0.12,0.07,0.02,0.82,0.78,1.56,4.48,15.83,10.46,4.08,3.03,4.21,4.32,4.48,3.47,4.08,5.61,4.98,3.31,1.83,1.13,0.7,0.49
"331",0.98,0.34,0.18,0.12,0.09,0.11,0.53,0.43,0.44,0.77,0.8,1.07,1.23,1.15,1.76,2.08,2.3,4.53,4.67,4.21,3.89,3.13,2.05,1.64
"332",0.24,0.17,0.05,0.06,0.05,0.02,0.15,0.56,0.79,0.73,0.96,1.13,1.43,1.54,2.14,3.31,4.3,5.67,6.6,4.98,3.07,1.56,1.19,0.73
"334",1.59,0.76,0.43,0.27,0.63,1.37,2.21,4.69,9.44,12.81,12.11,8.6,8.92,7.98,7.94,7.77,8.54,14.98,14.82,11.87,9.02,5.8,5.76,3.19
"335",0.65,0.37,0.23,0.06,0.08,1.26,1.14,7.65,14.63,14.51,7.18,6.27,8.86,8.8,8.05,9.93,9.38,12.73,14.09,9.3,5.92,3.35,1.97,1.44
"336",1.69,0.72,0.54,0.21,0.09,0.02,1.24,3.47,10.18,10.57,8.31,6.38,7.36,8.08,6.83,6.58,8,12.1,15.03,11.73,8.25,5.23,3.8,3.05
"337",0.22,0.08,0.05,0.05,0.04,0.4,3.38,9.5,22.43,14.5,4.25,1.95,2.92,3.26,2.24,1.72,2.69,2.84,1.95,1.83,0.99,0.69,0.54,0.42
"339",0.34,0.24,0.1,0.1,0.08,0.08,0.1,0.44,0.29,0.34,0.43,0.43,0.47,0.59,1.12,1.29,1.82,2.85,4.13,3.73,3.02,1.63,1.07,0.67
"340",0.75,0.35,0.13,0.07,0.07,0.07,0.34,1.37,3.3,1.5,0.94,1.24,1.72,1.81,2.47,3.18,2.89,5.76,5.06,4.83,3.56,4.05,2.92,1.68
"341",0.34,0.28,0.18,0.15,0.11,0.04,0.21,0.95,3.24,1.53,0.94,1.09,1.32,1.83,2.15,2.82,3.03,5.26,6.32,3.75,3.37,1.69,1.45,1.64
"342",0.55,0.35,0.2,0.11,0.09,0.07,0.18,1.06,2.13,1.51,1.38,1.36,2.08,2.47,3.66,3.15,3.52,5.34,7.03,4.57,3.48,2.86,2.12,1.55
"343",0.11,0.09,0.05,0.02,0.01,0.12,0.5,0.8,1.52,1.63,1.23,1.09,1.11,1.17,0.92,1.16,0.74,1.02,1.54,1.05,0.71,0.42,0.44,0.31
"344",0.32,0.18,0.08,0.02,NA,0.27,0.35,0.79,1.05,0.59,0.49,0.51,0.54,0.56,0.64,0.79,0.92,1.33,2.22,2.43,1.73,1.35,1.16,0.42
"345",1.53,0.76,0.31,0.2,0.14,0.73,3.35,7.99,10.13,10.02,7.27,7,7.51,7.82,7.5,8.83,9.2,13.85,16.15,12.21,8.53,5.69,3.8,2.85
"346",0.96,0.32,0.24,0.1,0.05,0.06,0.79,2.62,3.83,4.1,4.15,4.3,5.53,5.3,6.12,7.52,8.69,13.69,14.09,9.08,5.25,3.76,3.1,2.02
"347",0.56,0.45,0.12,0.35,0.6,0.76,4.82,11.37,18.44,18.47,6.27,4.91,7.32,7.81,8.9,7.5,9.12,13.26,15.97,14.02,11.96,6.9,3.76,1.8
"348",1.24,0.59,0.28,0.07,0.11,0.14,1.15,3.94,15.53,22.02,9.47,6.9,8.62,8.69,8.56,9.79,9.77,12.18,16.23,11.77,7.08,4.68,3.3,2.48
"349",0.73,0.3,0.19,0.1,0.08,0.04,0.26,0.95,1.06,0.69,0.62,0.74,0.9,1.12,1.41,1.64,1.89,3.33,4.2,4.05,4.47,3.85,2.56,1.56
"350",0.53,0.37,0.24,0.11,0.07,0.02,0.2,1.39,2.73,1.44,1.82,2.18,2.91,3.2,3.42,4.53,5.32,8.37,11.4,7.96,4.34,2.85,2.15,1.5
"351",0.54,0.29,0.06,0.01,0.08,1.15,3.89,9.58,17.7,5.35,1.21,1.53,2.56,3.27,2.66,2.97,3.52,3.98,3.21,2.39,2.02,1.33,1.08,0.88
